Date,Weekly Mean Price,Weekly Max Price
2020-05-29,34.01285714285715,35.57
2020-06-01,34.28857142857142,35.57
2020-06-02,34.65714285714286,36.88
2020-06-03,35.205714285714286,37.33
2020-06-04,35.59428571428572,37.42
2020-06-05,36.550000000000004,39.49
2020-06-08,37.19285714285714,39.49
2020-06-09,37.68000000000001,39.49
2020-06-10,38.25857142857143,39.54
2020-06-11,38.19428571428572,39.54
2020-06-12,38.03857142857142,39.54
2020-06-15,37.98857142857143,39.54
2020-06-16,37.81285714285714,39.54
2020-06-17,37.77571428571428,39.54
2020-06-18,37.74857142857143,39.54
2020-06-19,37.77428571428571,39.72
2020-06-22,38.37,40.6
2020-06-23,38.964285714285715,40.6
2020-06-24,39.08428571428571,40.6
2020-06-25,39.14142857142857,40.6
2020-06-26,39.230000000000004,40.6
2020-06-29,39.355714285714285,40.6
2020-06-30,39.29142857142857,40.6
2020-07-01,39.188571428571436,40.4
2020-07-02,39.212857142857146,40.57
2020-07-06,39.58428571428571,40.57
2020-07-07,39.86,40.59
2020-07-08,40.199999999999996,40.91
2020-07-09,40.19571428571429,40.91
2020-07-10,40.38,40.91
2020-07-13,40.40571428571428,40.91
2020-07-14,40.36714285714286,40.91
2020-07-15,40.465714285714284,41.2
2020-07-16,40.487142857142864,41.2
2020-07-17,40.43571428571429,41.2
2020-07-20,40.605714285714285,41.2
2020-07-21,40.777142857142856,41.76
2020-07-22,41.037142857142854,41.88
2020-07-23,41.135714285714286,41.88
2020-07-24,41.14,41.88
2020-07-27,41.24285714285714,41.88
2020-07-28,41.291428571428575,41.88
2020-07-29,41.33428571428571,41.88
2020-07-30,41.06142857142857,41.88
2020-07-31,40.80714285714286,41.46
2020-08-03,40.784285714285716,41.46
2020-08-04,40.847142857142856,41.67
2020-08-05,40.96,42.25
2020-08-06,41.10857142857144,42.25
2020-08-07,41.11285714285714,42.25
2020-08-10,41.41142857142857,42.25
2020-08-11,41.61571428571428,42.25
2020-08-12,41.86857142857143,42.6
2020-08-13,41.95285714285715,42.6
2020-08-14,41.92428571428571,42.6
2020-08-17,42.061428571428564,42.89
2020-08-18,42.308571428571426,42.89
2020-08-19,42.44714285714286,42.91
2020-08-20,42.60285714285714,42.91
2020-08-21,42.56285714285714,42.91
2020-08-24,42.58857142857143,42.91
2020-08-25,42.74857142857143,43.17
2020-08-26,42.79428571428571,43.21
2020-08-27,42.79285714285714,43.21
2020-08-28,42.800000000000004,43.21
2020-08-31,42.79857142857143,43.21
2020-09-01,42.86142857142857,43.21
2020-09-02,42.90714285714285,43.21
2020-09-03,42.652857142857144,43.21
2020-09-04,42.14999999999999,42.96
2020-09-08,41.29142857142857,42.96
2020-09-09,40.589999999999996,42.76
2020-09-10,39.824285714285715,42.76
2020-09-11,39.04857142857143,42.76
2020-09-14,38.25857142857143,41.39
2020-09-15,37.815714285714286,39.69
2020-09-16,37.88428571428572,40.17
2020-09-17,38.472857142857144,40.99
2020-09-18,38.90714285714286,41.09
2020-09-21,39.19428571428572,41.09
2020-09-22,39.51142857142857,41.09
2020-09-23,39.89571428571429,41.09
2020-09-24,40.15571428571429,41.09
2020-09-25,40.14,41.09
2020-09-28,40.06571428571429,41.09
2020-09-29,39.771428571428565,40.47
2020-09-30,39.88428571428572,40.47
2020-10-01,39.73571428571428,40.47
2020-10-02,39.30428571428571,40.47
2020-10-05,39.16285714285714,40.47
2020-10-06,39.228571428571435,40.52
2020-10-07,39.13571428571429,40.52
2020-10-08,39.42285714285715,41.04
2020-10-09,39.478571428571435,41.04
2020-10-12,39.57999999999999,41.04
2020-10-13,40.027142857142856,41.04
2020-10-14,40.27571428571429,41.04
2020-10-15,40.32142857142857,41.04
2020-10-16,40.44714285714286,41.04
2020-10-19,40.39714285714286,40.86
2020-10-20,40.529999999999994,41.37
2020-10-21,40.62428571428571,41.37
2020-10-22,40.68571428571429,41.37
2020-10-23,40.52428571428572,41.37
2020-10-26,40.17428571428571,41.37
2020-10-27,39.980000000000004,41.37
2020-10-28,39.49142857142857,41.37
2020-10-29,38.715714285714284,40.46
2020-10-30,38.11000000000001,40.46
2020-11-02,37.55857142857143,39.73
2020-11-03,37.23142857142857,39.34
2020-11-04,37.31428571428571,39.34
2020-11-05,37.20285714285715,38.97
2020-11-06,37.160000000000004,38.97
2020-11-09,37.74714285714286,40.05
2020-11-10,38.53857142857142,41.18
2020-11-11,39.2,41.23
2020-11-12,39.69428571428572,41.23
2020-11-13,39.83142857142857,41.23
2020-11-16,40.199999999999996,41.23
2020-11-17,40.81,41.24
2020-11-18,41.037142857142854,41.64
2020-11-19,41.09285714285714,41.64
2020-11-20,41.20142857142857,41.99
2020-11-23,41.488571428571426,42.91
2020-11-24,42.17142857142857,44.71
2020-11-25,42.80571428571428,45.58
2020-11-30,43.371428571428574,45.58
2020-12-01,43.785714285714285,45.58
2020-12-02,44.30857142857143,45.58
2020-12-03,44.83142857142856,45.65
2020-12-04,45.30571428571428,46.23
2020-12-07,45.449999999999996,46.23
2020-12-08,45.458571428571425,46.23
2020-12-09,45.49857142857143,46.23
2020-12-10,45.815714285714286,46.76
2020-12-11,46.010000000000005,46.76
2020-12-14,46.20571428571428,47.02
2020-12-15,46.39857142857142,47.58
2020-12-16,46.70428571428572,47.86
2020-12-17,47.089999999999996,48.34
2020-12-18,47.598571428571425,49.04
2020-12-21,47.74571428571429,49.04
2020-12-22,47.80714285714286,49.04
2020-12-23,47.93857142857143,49.04
2020-12-24,48.02428571428572,49.04
2020-12-28,47.972857142857144,49.04
2020-12-29,47.90285714285715,49.04
2020-12-30,47.78857142857144,48.24
2020-12-31,47.868571428571435,48.35
2021-01-04,47.93285714285714,48.35
2021-01-05,48.19571428571429,49.78
2021-01-06,48.519999999999996,50.45
2021-01-07,48.96714285714285,50.63
2021-01-08,49.58,52.14
2021-01-11,50.138571428571424,52.15
2021-01-12,50.8142857142857,53.08
2021-01-13,51.57714285714286,53.08
2021-01-14,52.104285714285716,53.47
2021-01-15,52.36142857142857,53.47
2021-01-19,52.68142857142857,53.47
2021-01-20,52.82714285714285,53.47
2021-01-21,52.94857142857143,53.47
2021-01-22,52.83428571428572,53.47
2021-01-25,52.82999999999999,53.47
2021-01-26,52.70714285714286,53.16
2021-01-27,52.78714285714286,53.16
2021-01-28,52.699999999999996,53.16
2021-01-29,52.55714285714286,53.0
2021-02-01,52.635714285714286,53.55
2021-02-02,52.99142857142857,54.77
2021-02-03,53.40428571428571,55.67
2021-02-04,53.91571428571428,56.19
2021-02-05,54.48571428571428,56.8
2021-02-08,55.29857142857143,57.95
2021-02-09,56.18142857142857,58.34
2021-02-10,56.91571428571429,58.69
2021-02-11,57.40857142857143,58.69
2021-02-12,57.95571428571429,59.5
2021-02-16,58.51,60.07
2021-02-17,59.12285714285714,61.09
2021-02-18,59.47285714285714,61.09
2021-02-19,59.58428571428571,61.09
2021-02-22,60.01,61.67
2021-02-23,60.50142857142857,61.67
2021-02-24,61.03142857142857,63.21
2021-02-25,61.511428571428574,63.43
2021-02-26,61.57714285714286,63.43
2021-03-01,61.597142857142856,63.43
2021-03-02,61.68,63.43
2021-03-03,61.63142857142857,63.43
2021-03-04,61.93857142857143,63.81
2021-03-05,62.34857142857142,66.08
2021-03-08,62.57714285714285,66.08
2021-03-09,62.93,66.08
2021-03-10,63.48857142857143,66.08
2021-03-11,64.39142857142856,66.08
2021-03-12,65.0,66.08
2021-03-15,65.22142857142856,66.08
2021-03-16,65.04142857142857,66.02
2021-03-17,64.97285714285715,66.02
2021-03-18,64.39142857142858,66.02
2021-03-19,63.96,66.02
2021-03-22,63.31142857142857,65.59
2021-03-23,62.191428571428574,65.36
2021-03-24,61.58571428571429,64.82
2021-03-25,60.67857142857143,64.55
2021-03-26,60.161428571428566,61.48
2021-03-29,60.38142857142857,61.49
2021-03-30,60.25571428571429,61.49
2021-03-31,59.92857142857143,61.49
2021-04-01,60.451428571428565,61.49
2021-04-05,60.11,61.49
2021-04-06,60.23428571428571,61.49
2021-04-07,60.06857142857143,61.49
2021-04-08,59.8,61.41
2021-04-09,59.620000000000005,61.41
2021-04-12,59.69285714285714,61.41
2021-04-13,59.519999999999996,60.2
2021-04-14,60.151428571428575,63.15
2021-04-15,60.73428571428571,63.42
2021-04-16,61.21857142857142,63.42
2021-04-19,61.74999999999999,63.42
2021-04-20,62.22428571428571,63.42
2021-04-21,62.45857142857143,63.42
2021-04-22,62.637142857142855,63.42
2021-04-23,62.49857142857143,63.42
2021-04-26,62.29857142857143,63.33
2021-04-27,62.28000000000001,63.33
2021-04-28,62.348571428571425,63.81
2021-04-29,62.69,65.0
2021-04-30,62.99857142857143,65.0
2021-05-03,63.42857142857143,65.0
2021-05-04,63.93428571428571,65.72
2021-05-05,64.45,65.72
2021-05-06,64.69285714285715,65.72
2021-05-07,64.85714285714285,65.72
2021-05-10,64.8457142857143,65.72
2021-05-11,65.10428571428572,65.72
2021-05-12,65.31857142857142,65.96
2021-05-13,65.04714285714286,65.96
2021-05-14,65.00285714285714,65.96
2021-05-17,65.21857142857142,66.24
2021-05-18,65.29428571428572,66.24
